id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目
1,株式会社古山商店,札幌市中央区大通東9丁目1,なし,011-231-5500,古紙回収協力店,月火水木金土,8:00,17:00,日曜、祝日、8/13～8/16、12/31～1/4は利用不可。,不要,なし,古紙・リターナブルびん
2,社会福祉総合センター,札幌市中央区大通西19丁目,なし,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,12/29～1/4は利用不可,不要,なし,古紙・リターナブルびん
3,千葉みさを商店,札幌市中央区北2条西20丁目1-8,なし,011-613-9006,古紙回収協力店,月火水木金土日,7:00,19:00,なし,不要,なし,古紙・リターナブルびん
4,北4条通り沿い　北向き,札幌市中央区北3条東5丁目5,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん
5,個人住宅駐車場前,札幌市中央区北4条東4丁目3,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん
6,東北会館倉庫前,札幌市中央区北4条東4丁目5,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん
7,コアレックス道栄株式会社,札幌市中央区北4条西15丁目,コアレックスビル,011-633-2323,古紙回収協力店,月火水木金土,9:00,17:00,土曜の利用時間は9:00～12:00。日曜、祝日、8/13～8/16、12/31～1/4は利用不可。,不要,なし,古紙・リターナブルびん
8,読売センター札幌中央,札幌市中央区北7条西9丁目2-11,なし,011-738-9777,古紙回収協力店,月火水木金土,10:00,16:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん
9,読売センター桑園宮の森,札幌市中央区北7条西19丁目38-74,野村ビル1階,011-641-0406,古紙回収協力店,月火水木金土,10:00,17:00,日曜は利用不可。,必要,なし,古紙・リターナブルびん
10,株式会社稲葉札幌支店,札幌市中央区北9条西18丁目36-73,なし,011-621-0534,古紙回収協力店,月火水木金土,8:30,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん
11,竹井商店,札幌市中央区北10条西19丁目35,なし,011-631-0753,古紙回収協力店,月火水木金土日,10:00,16:30,1月1日～1月5日は利用不可。,必要,なし,古紙・リターナブルびん
12,ペーパーショップサクマ,札幌市中央区南1条東4丁目7,なし,011-210-8401,古紙回収協力店,月火水木金土,10:00,19:00,土曜の利用時間は10:00～17:00。日曜、祝日、8/11～8/15、12/30～1/6は利用不可。,不要,なし,古紙・リターナブルびん
13,中央区民センター,札幌市中央区南2条西10丁目,裏口入口右手奥,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可,不要,なし,古紙・リターナブルびん
14,読売センター円山,札幌市中央区南6条西21丁目2-17,なし,011-532-9311,古紙回収協力店,月火水木金土,9:00,20:00,祝日の利用時間は9:00～12:00。日曜、祝日の午後は利用不可。,必要,なし,古紙・リターナブルびん
15,ラルズマート啓明店,札幌市中央区南11条西21丁目4-21,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
16,ラルズマート山鼻店,札幌市中央区南12条西11丁目2-10,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
