name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
アイスキャンデーの棒（木製・プラ製）,Popsicle sticks (wooden/plastic),冰棒棍（木制・塑料制）,아이스바 막대 (나무/플라스틱),Que kem (gỗ/nhựa),Палочки для мороженого (деревянные/пластиковые),Stik es loli (kayu/plastik),なし,None,有料,燃やせるごみ
アイスクリームのカップ・ふた（紙製）,Ice cream cups/lids (paper),冰淇淋杯/盖（纸制）,아이스크림 컵/뚜껑 (종이),Hộp/nắp kem (bằng giấy),Стаканчики/крышки от мороженого (бумажные),Wadah/tutup es krim (kertas),水ですすいでも汚れが落ちないものは「燃やせるごみ」,"If stains remain after rinsing, dispose of as 'Combustible Waste'.",無料,雑がみ
アイスクリームのカップ・ふた（プラ製）,Ice cream cups/lids (plastic),冰淇淋杯/盖（塑料制）,아이스크림 컵/뚜껑 (플라스틱),Hộp/nắp kem (bằng nhựa),Стаканчики/крышки от мороженого (пластиковые),Wadah/tutup es krim (plastik),なし,None,無料,容器包装プラスチック
アイスピック,Ice pick,冰锥,아이스 픽 (얼음 깨는 도구),Dụng cụ phá băng (Ice pick),Ледоруб (айспик),Pencungkil es,刃先を厚紙などで包んで、「キケン」と表示,Wrap the tip with thick paper and label as 'DANGER'.,有料,燃やせないごみ
アイロン,Iron,熨斗,다리미,Bàn ủi,Утюг,Setrika,小型家電の無料回収に出すと資源に！,Can be recycled through free collection of small home appliances.,有料,燃やせないごみ
アイロン台,Ironing board,熨衣板,다리미판,Bàn để ủi,Гладильная доска,Meja setrika,なし,None,有料,大型ごみ
アクセサリー（指輪・ブレスレット・ネックレスなど）,"Accessories (rings, bracelets, necklaces, etc.)",首饰（戒指、手镯、项链等）,"액세서리 (반지, 팔찌, 목걸이 등)","Phụ kiện (nhẫn, vòng tay, vòng cổ, v.v.)","Аксессуары (кольца, браслеты, ожерелья и т. д.)","Aksesori (cincin, gelang, kalung, dll.)",木製・革製・プラ製は「燃やせるごみ」,"Wooden, leather, or plastic accessories are 'Combustible Waste'.",有料,燃やせないごみ
アクリル板,Acrylic sheet,亚克力板,아크릴 판,Tấm acrylic,Акриловый лист,Lembaran akrilik,なし,None,有料,燃やせるごみ
アコーディオンカーテン,Accordion curtain,手风琴式窗帘,아코디언 커튼,Rèm xếp (rèm accordion),Штора-гармошка,Tirai akordeon,なし,None,有料,大型ごみ
アダプター（電源用）,Adapter (power supply),适配器（电源用）,어댑터 (전원용),Bộ chuyển đổi (nguồn điện),Адаптер (для питания),Adaptor (untuk daya),小型家電の無料回収に出すと資源に！,Can be recycled through free collection of small home appliances.,有料,燃やせないごみ
厚紙,Cardboard/Thick paper,厚纸板,두꺼운 종이,Giấy dày,Плотная бумага (картон),Kertas tebal,なし,None,無料,雑がみ
圧力鍋,Pressure cooker,压力锅,압력솥,Nồi áp suất,Скороварка,Panci presto,小物金属類の無料回収に出すと資源に！,Can be recycled through free collection of small metal items.,有料,燃やせないごみ
油（食用油・廃食油）,Oil (cooking oil/waste oil),油（食用油・废弃食用油）,"기름 (식용유, 폐식용유)","Dầu ăn (dầu ăn, dầu thải)",Масло (растительное/отработанное),Minyak (minyak goreng/minyak bekas),"・紙や布にしみ込ませるか凝固剤で固めて
・家庭用廃食油の無料回収に出すと資源に！",Soak in paper/cloth or solidify. Can be recycled via free collection of household waste oil.,有料,燃やせるごみ
油こし紙,Oil filter paper,滤油纸,기름 거름종이,Giấy lọc dầu,Фильтровальная бумага для масла,Kertas saring minyak,なし,None,有料,燃やせるごみ
油こし容器,Oil strainer container,滤油容器,기름 거름 용기,Hộp lọc dầu,Емкость для фильтрации масла,Wadah penyaring minyak,プラ製は「燃やせるごみ」,Plastic containers are 'Combustible Waste'.,有料,燃やせないごみ
油差し,Oiler (oil dispenser),油壶,기름통 (오일 디스펜서),Bình đựng dầu,Масленка,Tempat minyak,プラ製は「燃やせるごみ」,Plastic oilers are 'Combustible Waste'.,有料,燃やせないごみ
網（金属製）,Net/Mesh (metal),网（金属制）,그물/망 (금속제),Lưới (kim loại),Сетка (металлическая),Jaring (logam),なし,None,有料,燃やせないごみ
網（プラ製）,Net/Mesh (plastic),网（塑料制）,그물/망 (플라스틱),Lưới (nhựa),Сетка (пластиковая),Jaring (plastik),なし,None,有料,燃やせるごみ
編み機,Knitting machine,编织机,편물기 (뜨개질 기계),Máy đan,Вязальная машина,Mesin rajut,なし,None,有料,大型ごみ
網戸,Screen door,纱窗,방충망 (스크린 도어),Cửa lưới chống muỗi,Москитная сетка (дверь),Pintu kasa nyamuk,なし,None,有料,大型ごみ
アメリカンレーキ,American rake (garden tool),美式耙,아메리칸 레이크 (갈퀴),Cào kiểu Mỹ (American rake),Американские грабли,Garu Amerika,なし,None,有料,大型ごみ
アルバム（紙製）,Album (paper),相册（纸制）,앨범 (종이),Album (bằng giấy),Альбом (бумажный),Album (kertas),なし,None,無料,雑がみ
アルバム（プラ製・布製）,Album (plastic/cloth),相册（塑料制・布制）,앨범 (플라스틱/천),Album (nhựa/vải),Альбом (пластиковый/тканевый),Album (plastik/kain),なし,None,有料,燃やせるごみ
アルミ缶・アルミボトル（飲料・食品用）,Aluminum cans/bottles (for beverages/food),铝罐・铝瓶（饮料・食品用）,알루미늄 캔/알루미늄 병 (음료/식품용),Lon/chai nhôm (đồ uống/thực phẩm),Алюминиевые банки/бутылки (для напитков/пищи),Kaleng/Botol aluminium (untuk minuman/makanan),アルミボトルのふたははずす,Remove the lids from aluminum bottles.,無料,びん・缶・ペットボトル
アルミ箔鍋（鍋焼きうどんなど）,"Aluminum foil pots (e.g., Nabeyaki Udon)",铝箔锅（如锅烧乌冬面用）,알루미늄 호일 냄비 (나베야키 우동 등),Nồi lá nhôm (ví dụ: Udon nấu lẩu),"Кастрюли из алюминиевой фольги (например, для удон)",Panci foil aluminium (misalnya untuk Nabeyaki Udon),なし,None,有料,燃やせるごみ
アルミ箔容器,Aluminum foil containers,铝箔容器,알루미늄 호일 용기,Hộp đựng lá nhôm,Контейнеры из алюминиевой фольги,Wadah foil aluminium,お弁当用アルミ箔容器、ケーキのアルミ箔など,Includes lunch box containers and cake foil.,有料,燃やせるごみ
アルミホイール（タイヤ付を除く）,Aluminum wheels (excluding those with tires),铝制轮毂（不包括带轮胎的）,알루미늄 휠 (타이어 부착 제외),Mâm xe nhôm (trừ loại có kèm lốp),Алюминиевые диски (кроме дисков с шинами),Velg aluminium (tidak termasuk yang berban),小物金属類の無料回収に出すと資源に！,Can be recycled through free collection of small metal items.,有料,燃やせないごみ
アルミホイル（アルミ箔）,Aluminum foil,铝箔纸,알루미늄 호일 (은박지),Giấy bạc (lá nhôm),Алюминиевая фольга,Kertas aluminium foil,なし,None,有料,燃やせるごみ
アルミホイルの箱・芯,Aluminum foil box/core,铝箔盒・芯,알루미늄 호일 상자/심,Hộp/lõi giấy bạc,Коробка/стержень от алюминиевой фольги,Kotak/inti aluminium foil,なし,None,無料,雑がみ
アンテナ,Antenna,天线,안테나,Ăng-ten,Антенна,Antena,小型家電の無料回収に出すと資源に！,Can be recycled through free collection of small home appliances.,有料,大型ごみ
アンプ,Amplifier,功放,앰프,Bộ khuếch đại,Усилитель,Amplifier,小型家電の無料回収に出すと資源に！,Recycle through free collection of small electronics.,有料,燃やせないごみ
